destination,month,airline,average_price_naira,booking_window_weeks
USA,January,Emirates,1900189,10
USA,January,Qatar Airways,2040224,6
USA,January,Turkish Airlines,1685449,12
USA,January,British Airways,1986717,6
USA,January,Lufthansa,1676281,5
USA,January,Air France,1648072,1
USA,January,KLM,1851447,11
USA,January,Delta Airlines,1840423,5
USA,January,United Airlines,1956169,2
USA,January,Virgin Atlantic,1906690,5
USA,January,Ethiopian Airlines,1676925,6
USA,January,Kenya Airways,1879062,3
USA,January,RwandAir,1645003,4
USA,January,South African Airways,1471600,1
USA,January,Air Canada,1534015,4
USA,January,Singapore Airlines,1482158,10
USA,January,Etihad Airways,1861614,9
USA,January,Saudi Airlines,1603350,2
USA,January,EgyptAir,1610817,9
USA,January,Royal Air Maroc,1786777,7
USA,January,American Airlines,1866607,3
USA,January,Cathay Pacific,1562789,11
USA,January,Japan Airlines,1650699,6
USA,January,Malaysia Airlines,1600659,7
USA,January,Thai Airways,1951278,6
USA,January,Air India,1744788,3
USA,January,Brussels Airlines,1849647,7
USA,January,Swiss Air,1908659,11
USA,January,Finnair,1990495,4
USA,January,Austrian Airlines,1465221,5
USA,February,Emirates,2046002,4
USA,February,Qatar Airways,1698845,8
USA,February,Turkish Airlines,1674153,5
USA,February,British Airways,1554747,8
USA,February,Lufthansa,1790892,6
USA,February,Air France,1580004,6
USA,February,KLM,1420103,12
USA,February,Delta Airlines,1838592,6
USA,February,United Airlines,1878006,2
USA,February,Virgin Atlantic,1590500,10
USA,February,Ethiopian Airlines,1707904,2
USA,February,Kenya Airways,1868073,9
USA,February,RwandAir,2036439,3
USA,February,South African Airways,1744209,9
USA,February,Air Canada,1814970,4
USA,February,Singapore Airlines,1683460,10
USA,February,Etihad Airways,2094450,8
USA,February,Saudi Airlines,1772634,7
USA,February,EgyptAir,1629328,3
USA,February,Royal Air Maroc,1660773,9
USA,February,American Airlines,1560681,4
USA,February,Cathay Pacific,2040565,11
USA,February,Japan Airlines,1932408,7
USA,February,Malaysia Airlines,1742202,7
USA,February,Thai Airways,1627742,6
USA,February,Air India,1966802,8
USA,February,Brussels Airlines,1738400,2
USA,February,Swiss Air,1812144,6
USA,February,Finnair,1852415,11
USA,February,Austrian Airlines,1928811,4
USA,March,Emirates,2034378,1
USA,March,Qatar Airways,1912390,11
USA,March,Turkish Airlines,1662584,10
USA,March,British Airways,1742797,9
USA,March,Lufthansa,2071028,4
USA,March,Air France,1695078,11
USA,March,KLM,1700796,4
USA,March,Delta Airlines,1922389,6
USA,March,United Airlines,2112539,6
USA,March,Virgin Atlantic,1649345,6
USA,March,Ethiopian Airlines,1908527,1
USA,March,Kenya Airways,2016459,7
USA,March,RwandAir,1691339,4
USA,March,South African Airways,1697625,3
USA,March,Air Canada,2067695,7
USA,March,Singapore Airlines,1769218,9
USA,March,Etihad Airways,1884440,7
USA,March,Saudi Airlines,1771183,8
USA,March,EgyptAir,2152570,2
USA,March,Royal Air Maroc,1728067,12
USA,March,American Airlines,1898319,3
USA,March,Cathay Pacific,1950248,10
USA,March,Japan Airlines,2018068,9
USA,March,Malaysia Airlines,1751013,9
USA,March,Thai Airways,1872363,6
USA,March,Air India,1832371,6
USA,March,Brussels Airlines,2037044,7
USA,March,Swiss Air,2006254,7
USA,March,Finnair,2057179,9
USA,March,Austrian Airlines,1724404,9
USA,April,Emirates,2157678,1
USA,April,Qatar Airways,1890798,9
USA,April,Turkish Airlines,1790259,1
USA,April,British Airways,1978549,10
USA,April,Lufthansa,2172792,11
USA,April,Air France,1854180,12
USA,April,KLM,2130036,6
USA,April,Delta Airlines,1869051,10
USA,April,United Airlines,1961061,10
USA,April,Virgin Atlantic,1792481,7
USA,April,Ethiopian Airlines,1745129,11
USA,April,Kenya Airways,1713407,5
USA,April,RwandAir,1848327,9
USA,April,South African Airways,2055568,5
USA,April,Air Canada,2043422,10
USA,April,Singapore Airlines,2110811,11
USA,April,Etihad Airways,1702930,1
USA,April,Saudi Airlines,2159442,3
USA,April,EgyptAir,1857049,12
USA,April,Royal Air Maroc,2089382,11
USA,April,American Airlines,1940882,2
USA,April,Cathay Pacific,1776756,6
USA,April,Japan Airlines,1794004,6
USA,April,Malaysia Airlines,1789636,9
USA,April,Thai Airways,1657435,3
USA,April,Air India,1957397,2
USA,April,Brussels Airlines,1816404,2
USA,April,Swiss Air,2168520,4
USA,April,Finnair,1888006,3
USA,April,Austrian Airlines,1979984,9
USA,May,Emirates,1750076,6
USA,May,Qatar Airways,1991060,1
USA,May,Turkish Airlines,1933074,5
USA,May,British Airways,1658551,6
USA,May,Lufthansa,1906488,7
USA,May,Air France,1703744,4
USA,May,KLM,1679197,10
USA,May,Delta Airlines,1746920,2
USA,May,United Airlines,1758731,11
USA,May,Virgin Atlantic,2142542,10
USA,May,Ethiopian Airlines,1892940,1
USA,May,Kenya Airways,1858669,7
USA,May,RwandAir,1686168,2
USA,May,South African Airways,2006470,5
USA,May,Air Canada,1840773,3
USA,May,Singapore Airlines,1679558,6
USA,May,Etihad Airways,1888048,3
USA,May,Saudi Airlines,2070136,5
USA,May,EgyptAir,2128330,6
USA,May,Royal Air Maroc,1714243,4
USA,May,American Airlines,2084192,2
USA,May,Cathay Pacific,2160291,11
USA,May,Japan Airlines,1737555,10
USA,May,Malaysia Airlines,1716458,12
USA,May,Thai Airways,1731129,4
USA,May,Air India,2036334,8
USA,May,Brussels Airlines,1864562,2
USA,May,Swiss Air,2042161,10
USA,May,Finnair,1691747,4
USA,May,Austrian Airlines,1817746,11
USA,June,Emirates,1748248,8
USA,June,Qatar Airways,1865284,2
USA,June,Turkish Airlines,2002239,6
USA,June,British Airways,1848383,12
USA,June,Lufthansa,1835234,5
USA,June,Air France,1923267,7
USA,June,KLM,1872276,12
USA,June,Delta Airlines,2117331,4
USA,June,United Airlines,1921013,5
USA,June,Virgin Atlantic,1753906,2
USA,June,Ethiopian Airlines,2073361,5
USA,June,Kenya Airways,1946867,6
USA,June,RwandAir,1967968,10
USA,June,South African Airways,1842949,10
USA,June,Air Canada,2002047,2
USA,June,Singapore Airlines,1840057,1
USA,June,Etihad Airways,2145351,6
USA,June,Saudi Airlines,2062776,5
USA,June,EgyptAir,1754798,5
USA,June,Royal Air Maroc,2103564,10
USA,June,American Airlines,2123072,9
USA,June,Cathay Pacific,1797720,6
USA,June,Japan Airlines,1985404,2
USA,June,Malaysia Airlines,1863850,11
USA,June,Thai Airways,1645715,5
